team,week,opponent,is_home,gameday,bye
KC,1,DEN,True,2026-09-14,False
KC,2,IND,True,2026-09-20,False
KC,3,MIA,False,2026-09-27,False
KC,4,LV,False,2026-10-04,False
KC,5,BYE,,,True
KC,6,LAC,True,2026-10-18,False
KC,7,SEA,False,2026-10-25,False
KC,8,DEN,False,2026-11-01,False
KC,9,NYJ,True,2026-11-08,False
KC,10,ATL,False,2026-11-15,False
KC,11,ARI,True,2026-11-22,False
KC,12,BUF,False,2026-11-26,False
KC,13,LA,False,2026-12-03,False
KC,14,CIN,False,2026-12-13,False
KC,15,NE,True,2026-12-21,False
KC,16,SF,True,2026-12-27,False
KC,17,LAC,False,2027-01-03,False
KC,18,LV,True,2027-01-10,False
LA,1,SF,True,2026-09-10,False
LA,2,NYG,True,2026-09-21,False
LA,3,DEN,False,2026-09-27,False
LA,4,PHI,False,2026-10-04,False
LA,5,BUF,True,2026-10-12,False
LA,6,ARI,True,2026-10-18,False
LA,7,LV,False,2026-10-25,False
LA,8,LAC,True,2026-11-01,False
LA,9,WAS,False,2026-11-08,False
LA,10,ARI,False,2026-11-15,False
LA,11,BYE,,,True
LA,12,GB,True,2026-11-25,False
LA,13,KC,True,2026-12-03,False
LA,14,SF,False,2026-12-13,False
LA,15,DAL,True,2026-12-20,False
LA,16,SEA,False,2026-12-25,False
LA,17,TB,False,2027-01-03,False
LA,18,SEA,True,2027-01-10,False
LAC,1,ARI,True,2026-09-13,False
LAC,2,LV,True,2026-09-20,False
LAC,3,BUF,False,2026-09-27,False
LAC,4,SEA,False,2026-10-04,False
LAC,5,DEN,True,2026-10-11,False
LAC,6,KC,False,2026-10-18,False
LAC,7,BYE,,,True
LAC,8,LA,False,2026-11-01,False
LAC,9,HOU,True,2026-11-08,False
LAC,10,BAL,False,2026-11-16,False
LAC,11,NYJ,True,2026-11-22,False
LAC,12,NE,True,2026-11-29,False
LAC,13,TB,False,2026-12-06,False
LAC,14,LV,False,2026-12-13,False
LAC,15,SF,True,2026-12-17,False
LAC,16,MIA,False,2026-12-27,False
LAC,17,KC,True,2027-01-03,False
LAC,18,DEN,False,2027-01-10,False
LV,1,MIA,True,2026-09-13,False
LV,2,LAC,False,2026-09-20,False
LV,3,NO,False,2026-09-27,False
LV,4,KC,True,2026-10-04,False
LV,5,NE,False,2026-10-11,False
LV,6,BUF,True,2026-10-18,False
LV,7,LA,True,2026-10-25,False
LV,8,NYJ,False,2026-11-01,False
LV,9,SF,False,2026-11-08,False
LV,10,SEA,True,2026-11-15,False
LV,11,DEN,False,2026-11-22,False
LV,12,CLE,False,2026-11-29,False
LV,13,BYE,,,True
LV,14,LAC,True,2026-12-13,False
LV,15,DEN,True,2026-12-20,False
LV,16,TEN,True,2026-12-27,False
LV,17,ARI,False,2027-01-03,False
LV,18,KC,False,2027-01-10,False
MIA,1,LV,False,2026-09-13,False
MIA,2,SF,False,2026-09-20,False
MIA,3,KC,True,2026-09-27,False
MIA,4,MIN,False,2026-10-04,False
MIA,5,CIN,True,2026-10-11,False
MIA,6,BYE,,,True
MIA,7,NYJ,False,2026-10-25,False
MIA,8,NE,True,2026-11-01,False
MIA,9,DET,True,2026-11-08,False
MIA,10,IND,False,2026-11-15,False
MIA,11,BUF,False,2026-11-22,False
MIA,12,NYJ,True,2026-11-29,False
MIA,13,DEN,False,2026-12-06,False
MIA,14,CHI,True,2026-12-13,False
MIA,15,GB,False,2026-12-20,False
MIA,16,LAC,True,2026-12-27,False
MIA,17,BUF,True,2027-01-03,False
MIA,18,NE,False,2027-01-10,False
MIN,1,GB,True,2026-09-13,False
MIN,2,CHI,False,2026-09-20,False
MIN,3,TB,False,2026-09-27,False
MIN,4,MIA,True,2026-10-04,False
MIN,5,NO,False,2026-10-11,False
MIN,6,BYE,,,True
MIN,7,IND,True,2026-10-25,False
MIN,8,DET,False,2026-11-01,False
MIN,9,BUF,True,2026-11-09,False
MIN,10,GB,False,2026-11-15,False
MIN,11,SF,False,2026-11-22,False
MIN,12,ATL,True,2026-11-29,False
MIN,13,CAR,True,2026-12-06,False
MIN,14,NE,False,2026-12-10,False
MIN,15,DET,True,2026-12-20,False
MIN,16,WAS,True,2026-12-27,False
MIN,17,NYJ,False,2027-01-03,False
MIN,18,CHI,True,2027-01-10,False
NE,1,SEA,False,2026-09-09,False
NE,2,PIT,True,2026-09-20,False
NE,3,JAX,False,2026-09-27,False
NE,4,BUF,False,2026-10-04,False
NE,5,LV,True,2026-10-11,False
NE,6,NYJ,True,2026-10-18,False
NE,7,CHI,False,2026-10-22,False
NE,8,MIA,False,2026-11-01,False
NE,9,GB,True,2026-11-08,False
NE,10,DET,False,2026-11-15,False
NE,11,BYE,,,True
NE,12,LAC,False,2026-11-29,False
NE,13,BUF,True,2026-12-06,False
NE,14,MIN,True,2026-12-10,False
NE,15,KC,False,2026-12-21,False
NE,16,NYJ,False,2026-12-27,False
NE,17,DEN,True,2027-01-03,False
NE,18,MIA,True,2027-01-10,False
NO,1,DET,False,2026-09-13,False
NO,2,BAL,False,2026-09-20,False
NO,3,LV,True,2026-09-27,False
NO,4,ATL,True,2026-10-05,False
NO,5,MIN,True,2026-10-11,False
NO,6,NYG,False,2026-10-18,False
NO,7,PIT,True,2026-10-25,False
NO,8,BYE,,,True
NO,9,CLE,True,2026-11-08,False
NO,10,CAR,True,2026-11-15,False
NO,11,CHI,False,2026-11-22,False
NO,12,CIN,False,2026-11-29,False
NO,13,GB,True,2026-12-06,False
NO,14,CAR,False,2026-12-13,False
NO,15,TB,False,2026-12-20,False
NO,16,ARI,True,2026-12-27,False
NO,17,ATL,False,2027-01-03,False
NO,18,TB,True,2027-01-10,False
NYG,1,DAL,True,2026-09-13,False
NYG,2,LA,False,2026-09-21,False
NYG,3,TEN,True,2026-09-27,False
NYG,4,ARI,True,2026-10-04,False
NYG,5,WAS,False,2026-10-11,False
NYG,6,NO,True,2026-10-18,False
NYG,7,HOU,False,2026-10-25,False
NYG,8,BYE,,,True
NYG,9,PHI,False,2026-11-08,False
NYG,10,WAS,True,2026-11-12,False
NYG,11,JAX,True,2026-11-22,False
NYG,12,IND,False,2026-11-29,False
NYG,13,SF,True,2026-12-06,False
NYG,14,SEA,False,2026-12-13,False
NYG,15,CLE,True,2026-12-20,False
NYG,16,DET,False,2026-12-28,False
NYG,17,DAL,False,2027-01-03,False
NYG,18,PHI,True,2027-01-10,False
NYJ,1,TEN,False,2026-09-13,False
NYJ,2,GB,True,2026-09-20,False
NYJ,3,DET,False,2026-09-27,False
NYJ,4,CHI,False,2026-10-04,False
NYJ,5,CLE,True,2026-10-11,False
NYJ,6,NE,False,2026-10-18,False
NYJ,7,MIA,True,2026-10-25,False
NYJ,8,LV,True,2026-11-01,False
NYJ,9,KC,False,2026-11-08,False
NYJ,10,BUF,True,2026-11-15,False
NYJ,11,LAC,False,2026-11-22,False
NYJ,12,MIA,False,2026-11-29,False
NYJ,13,BYE,,,True
NYJ,14,DEN,True,2026-12-13,False
NYJ,15,ARI,False,2026-12-20,False
NYJ,16,NE,True,2026-12-27,False
NYJ,17,MIN,True,2027-01-03,False
NYJ,18,BUF,False,2027-01-10,False
PHI,1,WAS,True,2026-09-13,False
PHI,2,TEN,False,2026-09-20,False
PHI,3,CHI,False,2026-09-28,False
PHI,4,LA,True,2026-10-04,False
PHI,5,JAX,False,2026-10-11,False
PHI,6,CAR,True,2026-10-18,False
PHI,7,DAL,True,2026-10-26,False
PHI,8,WAS,False,2026-11-01,False
PHI,9,NYG,True,2026-11-08,False
PHI,10,BYE,,,True
PHI,11,PIT,True,2026-11-22,False
PHI,12,DAL,False,2026-11-26,False
PHI,13,ARI,False,2026-12-06,False
PHI,14,IND,True,2026-12-13,False
PHI,15,SEA,True,2026-12-19,False
PHI,16,HOU,True,2026-12-24,False
PHI,17,SF,False,2027-01-03,False
PHI,18,NYG,False,2027-01-10,False
PIT,1,ATL,True,2026-09-13,False
PIT,2,NE,False,2026-09-20,False
PIT,3,CIN,True,2026-09-27,False
PIT,4,CLE,False,2026-10-01,False
PIT,5,IND,True,2026-10-11,False
PIT,6,TB,False,2026-10-18,False
PIT,7,NO,False,2026-10-25,False
PIT,8,CLE,True,2026-11-01,False
PIT,9,BYE,,,True
PIT,10,CIN,False,2026-11-15,False
PIT,11,PHI,False,2026-11-22,False
PIT,12,DEN,True,2026-11-27,False
PIT,13,HOU,True,2026-12-06,False
PIT,14,JAX,False,2026-12-14,False
PIT,15,BAL,True,2026-12-20,False
PIT,16,CAR,True,2026-12-27,False
PIT,17,TEN,False,2027-01-03,False
PIT,18,BAL,False,2027-01-10,False
SEA,1,NE,True,2026-09-09,False
SEA,2,ARI,False,2026-09-20,False
SEA,3,WAS,False,2026-09-27,False
SEA,4,LAC,True,2026-10-04,False
SEA,5,SF,True,2026-10-11,False
SEA,6,DEN,False,2026-10-15,False
SEA,7,KC,True,2026-10-25,False
SEA,8,CHI,True,2026-11-02,False
SEA,9,ARI,True,2026-11-08,False
SEA,10,LV,False,2026-11-15,False
SEA,11,BYE,,,True
SEA,12,SF,False,2026-11-29,False
SEA,13,DAL,True,2026-12-07,False
SEA,14,NYG,True,2026-12-13,False
SEA,15,PHI,False,2026-12-19,False
SEA,16,LA,True,2026-12-25,False
SEA,17,CAR,False,2027-01-03,False
SEA,18,LA,False,2027-01-10,False
SF,1,LA,False,2026-09-10,False
SF,2,MIA,True,2026-09-20,False
SF,3,ARI,True,2026-09-27,False
SF,4,DEN,True,2026-10-04,False
SF,5,SEA,False,2026-10-11,False
SF,6,WAS,True,2026-10-19,False
SF,7,ATL,False,2026-10-25,False
SF,8,BYE,,,True
SF,9,LV,True,2026-11-08,False
SF,10,DAL,False,2026-11-15,False
SF,11,MIN,True,2026-11-22,False
SF,12,SEA,True,2026-11-29,False
SF,13,NYG,False,2026-12-06,False
SF,14,LA,True,2026-12-13,False
SF,15,LAC,False,2026-12-17,False
SF,16,KC,False,2026-12-27,False
SF,17,PHI,True,2027-01-03,False
SF,18,ARI,False,2027-01-10,False
TB,1,CIN,False,2026-09-13,False
TB,2,CLE,True,2026-09-20,False
TB,3,MIN,True,2026-09-27,False
TB,4,GB,True,2026-10-04,False
TB,5,DAL,False,2026-10-08,False
TB,6,PIT,True,2026-10-18,False
TB,7,CAR,False,2026-10-25,False
TB,8,ATL,True,2026-11-01,False
TB,9,CHI,False,2026-11-08,False
TB,10,BYE,,,True
TB,11,DET,False,2026-11-22,False
TB,12,CAR,True,2026-11-30,False
TB,13,LAC,True,2026-12-06,False
TB,14,BAL,False,2026-12-13,False
TB,15,NO,True,2026-12-20,False
TB,16,ATL,False,2026-12-27,False
TB,17,LA,True,2027-01-03,False
TB,18,NO,False,2027-01-10,False
TEN,1,NYJ,True,2026-09-13,False
TEN,2,PHI,True,2026-09-20,False
TEN,3,NYG,False,2026-09-27,False
TEN,4,BAL,False,2026-10-04,False
TEN,5,HOU,True,2026-10-11,False
TEN,6,IND,False,2026-10-18,False
TEN,7,CLE,True,2026-10-25,False
TEN,8,CIN,False,2026-11-01,False
TEN,9,BYE,,,True
TEN,10,JAX,True,2026-11-15,False
TEN,11,DAL,False,2026-11-22,False
TEN,12,JAX,False,2026-11-29,False
TEN,13,WAS,True,2026-12-06,False
TEN,14,DET,False,2026-12-13,False
TEN,15,IND,True,2026-12-20,False
TEN,16,LV,False,2026-12-27,False
TEN,17,PIT,True,2027-01-03,False
TEN,18,HOU,False,2027-01-10,False
WAS,1,PHI,False,2026-09-13,False
WAS,2,DAL,False,2026-09-20,False
WAS,3,SEA,True,2026-09-27,False
WAS,4,IND,True,2026-10-04,False
WAS,5,NYG,True,2026-10-11,False
WAS,6,SF,False,2026-10-19,False
WAS,7,BYE,,,True
WAS,8,PHI,True,2026-11-01,False
WAS,9,LA,True,2026-11-08,False
WAS,10,NYG,False,2026-11-12,False
WAS,11,CIN,True,2026-11-23,False
WAS,12,ARI,False,2026-11-29,False
WAS,13,TEN,False,2026-12-06,False
WAS,14,HOU,True,2026-12-13,False
WAS,15,ATL,True,2026-12-20,False
WAS,16,MIN,False,2026-12-27,False
WAS,17,JAX,False,2027-01-03,False
WAS,18,DAL,True,2027-01-10,False
